#Shape:0 (Polygon)  nVertices=433  nParts=1
#  Bounds: 44.034 25.075
#      to  63.342 39.781
timezone 3.50
xy 84.955 28.544
xy 85.060 28.641
xy 85.190 28.603
xy 85.182 28.530
xy 85.102 28.447
xy 85.103 28.316
xy 85.377 28.264
xy 85.459 28.302
xy 85.620 28.251
xy 85.718 28.339
xy 85.747 28.237
xy 85.886 28.152
xy 85.919 28.033
xy 85.978 27.990
xy 85.973 27.916
xy 86.014 27.883
xy 86.089 27.891
xy 86.137 27.932
xy 86.094 28.086
xy 86.184 28.164
xy 86.226 28.007
xy 86.445 27.908
xy 86.535 27.955
xy 86.572 28.106
xy 86.637 28.086
xy 86.686 28.112
xy 86.758 28.080
xy 86.764 28.027
xy 86.874 28.018
xy 86.933 27.951
xy 87.039 27.961
xy 87.193 27.823
xy 87.306 27.816
xy 87.404 27.861
xy 87.394 27.809
xy 87.546 27.846
xy 87.598 27.810
xy 87.661 27.829
xy 87.721 27.805
xy 87.797 27.837
xy 87.869 27.919
xy 88.143 27.866
xy 88.194 27.847
xy 88.189 27.788
xy 88.119 27.608
xy 88.057 27.533
xy 88.067 27.437
xy 88.039 27.376
xy 88.060 27.328
xy 87.993 27.114
xy 88.119 26.984
xy 88.195 26.754
xy 88.102 26.530
xy 88.096 26.439
xy 88.026 26.369
xy 87.949 26.401
xy 87.891 26.473
xy 87.843 26.439
xy 87.786 26.456
xy 87.766 26.409
xy 87.697 26.429
xy 87.600 26.380
xy 87.447 26.432
xy 87.371 26.403
xy 87.328 26.348
xy 87.245 26.412
xy 87.137 26.410
xy 87.094 26.456
xy 87.061 26.588
xy 86.886 26.469
xy 86.732 26.420
xy 86.535 26.528
xy 86.332 26.585
xy 86.332 26.613
xy 86.207 26.586
xy 86.184 26.608
xy 86.029 26.663
xy 85.850 26.572
xy 85.731 26.667
xy 85.726 26.802
xy 85.630 26.867
xy 85.453 26.787
xy 85.412 26.795
xy 85.334 26.736
xy 85.212 26.767
xy 85.184 26.867
xy 85.041 26.848
xy 85.041 26.887
xy 84.973 26.903
xy 84.953 26.958
xy 84.844 27.015
xy 84.750 27.007
xy 84.647 27.045
xy 84.684 27.216
xy 84.610 27.336
xy 84.298 27.388
xy 84.143 27.524
xy 84.099 27.516
xy 84.040 27.445
xy 83.835 27.438
